word,VERB,NOUN,PRON,ADJ,ADV,ADP,CONJ,DET,NUM,PRT,X,.
Mr.,0,609,0,0,0,0,0,0,0,0,0,0
Podger,0,17,0,0,0,0,0,0,0,0,0,0
had,3582,0,0,0,0,0,0,0,0,0,1,0
thanked,5,0,0,0,0,0,0,0,0,0,0,0
him,0,0,1817,0,0,0,0,0,0,0,0,0
gravely,0,0,0,0,4,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0,0,0,0,40565
and,0,0,0,0,0,0,19487,0,0,0,3,0
now,0,0,0,0,696,0,0,0,0,0,0,0
he,0,0,4614,0,0,0,0,0,0,0,2,0
made,771,0,0,0,0,0,0,0,0,0,3,0
use,154,243,0,0,0,0,0,0,0,0,0,0
of,0,0,0,0,0,25212,0,0,0,0,2,0
the,0,0,0,0,0,0,0,43740,0,0,3,0
advice,0,39,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,34418
But,0,0,0,0,0,2,981,0,0,0,0,0
there,0,0,0,0,370,0,0,0,0,935,0,0
seemed,231,0,0,0,0,0,0,0,0,0,0,0
to,0,0,0,0,1,7688,0,0,0,10321,3,0
be,4419,0,0,0,0,0,0,0,0,0,2,0
some,0,0,0,0,11,0,0,982,0,0,0,0
difference,0,103,0,0,0,0,0,0,0,0,0,0
opinion,0,69,0,0,0,0,0,0,0,0,0,0
as,0,0,0,0,735,3904,0,0,0,0,1,0
how,0,0,0,0,434,0,0,0,0,0,0,0
far,0,0,0,28,253,0,0,0,0,0,0,0
board,4,120,0,0,0,0,0,0,0,0,0,0
should,592,0,0,0,0,0,0,0,0,0,0,0
go,417,0,0,0,0,0,0,0,0,0,0,0
whose,0,0,0,0,0,0,0,167,0,0,0,0
it,0,0,4698,0,0,0,0,0,0,0,0,0
follow,63,0,0,0,0,0,0,0,0,0,0,0
Such,0,0,0,57,0,0,0,0,0,24,0,0
an,0,0,0,0,0,0,11,2472,0,0,2,0
instrument,0,34,0,0,0,0,0,0,0,0,0,0
is,7007,0,0,0,0,0,0,0,0,0,1,0
expected,129,0,0,0,0,0,0,0,0,0,0,0
especially,0,0,0,0,108,0,0,0,0,0,0,0
useful,0,0,0,40,0,0,0,0,0,0,0,0
if,0,0,0,0,0,1037,0,0,0,0,1,0
could,1095,0,0,0,0,0,0,0,0,0,0,0
used,441,0,0,0,0,0,0,0,0,0,0,0
measure,23,46,0,0,0,0,0,0,0,0,0,0
elasticity,0,4,0,0,0,0,0,0,0,0,0,0
heavy,0,0,0,71,0,0,0,0,0,0,0,0
pastes,0,1,0,0,0,0,0,0,0,0,0,0
such,0,0,0,628,7,0,0,0,0,188,0,0
printing,8,4,0,0,0,0,0,0,0,0,0,0
inks,0,1,0,0,0,0,0,0,0,0,0,0
paints,3,5,0,0,0,0,0,0,0,0,0,0
adhesives,0,2,0,0,0,0,0,0,0,0,0,0
molten,0,0,0,1,0,0,0,0,0,0,0,0
plastics,0,20,0,0,0,0,0,0,0,0,0,0
bread,0,29,0,0,0,0,0,0,0,0,0,0
dough,0,12,0,0,0,0,0,0,0,0,0,0
for,0,1,0,0,4,6204,0,0,0,0,0,0
related,67,0,0,0,0,0,0,0,0,0,0,0
those,0,0,0,0,0,0,0,565,0,0,0,0
various,0,0,0,136,0,0,0,0,0,0,0,0
properties,0,50,0,0,0,0,0,0,0,0,0,0
termed,10,0,0,0,0,0,0,0,0,0,0,0
``,0,0,0,0,0,0,0,0,0,0,0,6127
length,0,89,0,0,0,0,0,0,0,0,0,0
'',0,0,0,0,0,0,0,0,0,0,0,6098
shortness,0,1,0,0,0,0,0,0,0,0,0,0
spinnability,0,1,0,0,0,0,0,0,0,0,0,0
etc.,0,0,0,0,39,0,0,0,0,0,0,0
which,0,0,0,0,0,0,0,2498,0,0,1,0
are,3015,0,0,0,0,0,0,0,0,0,0,0
usually,0,0,0,0,129,0,0,0,0,0,0,0
judged,13,0,0,0,0,0,0,0,0,0,0,0
by,0,0,0,0,41,3502,0,0,0,0,1,0
subjective,0,0,0,15,0,0,0,0,0,0,0,0
methods,0,99,0,0,0,0,0,0,0,0,0,0
at,0,0,0,0,0,3456,0,0,0,0,0,0
present,25,32,0,166,41,0,0,0,0,0,0,0
My,0,2,0,0,0,0,0,115,0,1,0,0
future,0,102,0,52,0,0,0,0,0,0,0,0
plans,10,70,0,0,0,0,0,0,0,0,0,0
become,246,0,0,0,0,0,0,0,0,0,0,0
a,0,1,0,0,0,0,0,15354,0,0,5,0
language,0,78,0,0,0,0,0,0,0,0,0,0
teacher,0,50,0,0,0,0,0,0,0,0,0,0
We,0,0,469,0,0,0,0,0,0,0,0,0
ran,90,0,0,0,0,0,0,0,0,0,0,0
east,0,29,0,0,0,0,0,0,0,0,0,0
about,0,0,0,0,348,867,0,0,0,14,1,0
half,0,8,0,0,12,0,0,0,0,170,0,0
mile,0,29,0,0,0,0,0,0,0,0,0,0
before,0,0,0,0,99,563,0,0,0,0,1,0
we,0,0,1365,0,0,0,0,0,0,0,0,0
turned,213,0,0,0,0,0,0,0,0,0,0,0
back,15,124,0,22,480,0,0,0,0,0,0,0
road,0,114,0,0,0,0,0,0,0,0,0,0
panting,5,0,0,0,0,0,0,0,0,0,0,0
from,0,0,0,0,0,2940,0,0,0,0,0,0
effort,0,102,0,0,0,0,0,0,0,0,0,0
soaked,5,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,0,3,4874,0,0,0,0,0,0
sweat,1,12,0,0,0,0,0,0,0,0,0,0
After,0,0,0,0,0,176,0,0,0,0,0,0
television,0,35,0,0,0,0,0,0,0,0,0,0
La,0,14,0,0,0,0,0,0,0,0,16,0
Dolce,0,0,0,0,0,0,0,0,0,0,3,0
Vita,0,0,0,0,0,0,0,0,0,0,3,0
seems,155,0,0,0,0,0,0,0,0,0,0,0
harmless,0,0,0,4,0,0,0,0,0,0,0,0
Gray,0,5,0,7,0,0,0,0,0,0,0,0
Line,0,8,0,0,0,0,0,0,0,0,0,0
tour,0,28,0,0,0,0,0,0,0,0,1,0
North,0,39,0,66,0,0,0,0,0,0,0,0
Beach,0,21,0,0,0,0,0,0,0,0,0,0
night,0,279,0,0,0,0,0,0,0,0,0,0
It,0,0,1433,0,0,0,0,0,0,0,0,0
would,1873,0,0,0,0,0,0,0,0,0,0,0
give,265,1,0,0,0,0,0,0,0,0,0,0
opportunity,0,88,0,0,0,0,0,0,0,0,0,0
take,405,3,0,0,0,0,0,0,0,0,0,0
his,0,0,28,0,0,0,0,4412,0,0,2,0
chief,0,21,0,44,0,0,0,0,0,0,0,0
adversary,0,4,0,0,0,0,0,0,0,0,0,0
in,0,1,0,0,0,13286,0,0,0,327,4,0
cold,0,16,0,106,1,0,0,0,0,0,0,0
war,0,203,0,0,0,0,0,0,0,0,0,0
try,94,2,0,0,0,0,0,0,0,0,0,0
probe,4,1,0,0,0,0,0,0,0,0,0,0
Khrushchev's,0,7,0,0,0,0,0,0,0,0,0,0
intentions,0,15,0,0,0,0,0,0,0,0,0,0
make,558,2,0,0,0,0,0,0,0,0,0,0
clear,7,0,0,142,6,0,0,0,0,0,0,0
own,16,0,0,509,0,0,0,0,0,0,0,0
views,2,35,0,0,0,0,0,0,0,0,0,0
She,0,0,617,0,0,0,0,0,0,0,0,0
move,96,20,0,0,0,0,0,0,0,0,0,0
direction,0,86,0,0,0,0,0,0,0,0,0,0
--,0,0,0,0,0,0,0,0,0,0,0,2399
any,0,0,0,0,7,0,0,891,0,0,0,0
that,0,0,1247,0,36,4500,0,1401,0,0,1,0
her,0,0,782,0,0,0,0,1215,0,0,0,0
away,0,0,0,0,314,0,0,0,0,0,0,0
this,0,0,0,0,0,0,0,2759,0,0,0,0
