id,text,screen_name,created_at,retweet_count,favorite_count,friends_count,followers_count,lang,country,sentiment
"1,25E+18",Honestly i would love to celebrate the people who recovered from covid 19. Literally a milestone.,fleon_13,Tue Apr 07 04:00:45 +0000 2020,0,0,296,344,en,United States,positive
"1,25E+18",@TimesNow Harassing a person in the name of Coronavirus is wrong irrespective of their religion.,DBardaloi,Tue Apr 07 04:00:51 +0000 2020,0,0,3917,3450,en,India,negative
"1,25E+18","Coronavirus: Africa will not be testing ground for vaccine, says WHO",Aurora_313Poet,Tue Apr 07 04:00:54 +0000 2020,0,0,995,657,en,United States,neutral
"1,25E+18",Nice to know thereâ€™s some upside &gt; Coronavirus lockdowns have changed the way Earth moves,AJBOSE,Tue Apr 07 04:01:10 +0000 2020,0,0,1158,544,en,United States,neutral
"1,25E+18",This woman is killing others! #COVID19,AllisonScussel,Tue Apr 07 04:01:46 +0000 2020,0,0,227,111,en,United States,negative
"1,25E+18",Heal the world in a different way: #covid19 plz go away,sky_as_sama,Tue Apr 07 04:01:51 +0000 2020,0,0,1581,812,en,United States,neutral
"1,25E+18","Device distribution = distance learning for our students. Take that, Covid-19... Canâ€™t keep the pumas down đŸ¾ đŸ’™đŸ’ âœŒđŸ»",Lil_Ames1,Tue Apr 07 04:02:08 +0000 2020,0,0,659,649,en,United States,positive
"1,25E+18",I miss #Hockey #NHL #FlaPanthers Can this #coronavirus be over with? @ BB&amp;T Center,BlueChip48,Tue Apr 07 04:02:26 +0000 2020,0,0,1455,1386,en,United States,negative
"1,25E+18",Thanks to Medical Army of INDIA đŸ‡®đŸ‡³ #WorldHealthDay2020 #StaySafe #COVID19 @MYFMIndia,RJ_REXX,Tue Apr 07 04:02:45 +0000 2020,0,0,140,3592,en,India,positive
"1,25E+18","Stepping out of our homes, day 1 of post-quarantine. #COVID19 #QuarantineLife",oh_hash,Tue Apr 07 04:02:48 +0000 2020,0,0,1178,259,en,United States,neutral
"1,25E+18",Why COVID-19 is not the â€˜great equalizerâ€™ when it comes to race in the US,BrianOSheaSPI,Tue Apr 07 04:02:53 +0000 2020,0,0,440,662,en,United States,negative
"1,25E+18",Shout out all the rappers that said they got 2020 vision didnâ€™t see this coming did ya #coronavirus,JackCrowleyyy,Tue Apr 07 04:03:13 +0000 2020,0,0,407,358,en,United Kingdom,neutral
"1,25E+18",Watch the full YouTube interview of the younger generations take on Covid19,rehmancee,Tue Apr 07 04:03:23 +0000 2020,0,0,24,13,en,United States,neutral
"1,25E+18",Can we put coronavirus in the transfer portal?,DawgatAuburn,Tue Apr 07 04:03:29 +0000 2020,0,0,352,721,en,United States,neutral
"1,25E+18",The moon of COVID-19. April 6th 2020 #astrophotography #moon @ Colonia Del Valle,RoyMT,Tue Apr 07 04:03:34 +0000 2020,0,0,352,270,en,Mexico,neutral
"1,25E+18","@BethMooreLPM Pray, mask, feed, repeat! #COVID19 #TEACHers #Students #faith #Arkansas",gigi__davis,Tue Apr 07 04:03:38 +0000 2020,0,0,438,439,en,United States,neutral
"1,25E+18",Coronavirus chills Seattle's red-hot real estate market,lori_vassallo,Tue Apr 07 04:03:42 +0000 2020,0,0,4617,5414,en,United States,neutral
"1,25E+18",grad school interview on wednesday bc coronavirus canâ€™t stop me from powering up,ChadDuBois,Tue Apr 07 04:03:54 +0000 2020,0,0,915,3634,en,United States,neutral
"1,25E+18",@NationBreaking The Apocalypse đŸ˜¢đŸ¥µđŸ˜±đŸ†˜ #Covid_19 #COVID19 #CoronaVirusUSA,BeingCharlie,Tue Apr 07 04:04:02 +0000 2020,0,0,64,3824,en,Kenya,negative
"1,25E+18",UK PM Boris Johnson Moved To Intensive Care As COVID-19 Symptoms Worsen,ZaapGossip,Tue Apr 07 04:04:29 +0000 2020,0,0,783,115,en,à¸›à¸£à¸°à¹€à¸—à¸¨à¹„à¸—à¸¢,neutral
"1,25E+18",Leave it to Chump to try and profit off the pandemic. #CoronaVirusUpdates,Lopeezie,Tue Apr 07 04:04:44 +0000 2020,0,0,5297,4976,en,United States,neutral
"1,25E+18","Essential worker, Instacart and stocks, yeah Iâ€™m not about to let Covid-19 stop my grind đŸ˜¤",Rufino_12_,Tue Apr 07 04:07:51 +0000 2020,0,0,233,130,en,United States,neutral
"1,25E+18",HUMANITARIAN CRISIS: Warning of 'bodies in the streets' if #COVID-19 takes off in #PNG,FijiSchProjects,Tue Apr 07 01:19:24 +0000 2020,0,0,1687,353,en,Papua New Guinea,negative
"1,25E+18",new york state alone is top five worldwide in covid-19 cases compared to countries,uptownascension,Tue Apr 07 04:08:22 +0000 2020,0,0,288,970,en,United States,positive
"1,25E+18",who's going to stand up and release #nyccoronavirus data broken down by race?,RustyZimms,Tue Apr 07 04:08:57 +0000 2020,0,0,578,688,en,United States,neutral
"1,25E+18","#knowthedifference #flu #cold #allergies #coronavirus #sick #sickness #symptoms @ Bixby Knolls, Long Beach",beatricerenee,Tue Apr 07 04:09:36 +0000 2020,0,0,539,361,en,United States,neutral
"1,25E+18",A few shots of Lautoka City after the lockdown ended at 5am today. #FijiNews #COVID19,fnaikaso,Tue Apr 07 04:09:46 +0000 2020,0,0,710,2106,en,Fiji,negative
"1,25E+18","It was the best of times, it was the worst of times. As Charles Dickens would say if he were alive. #COVID19",ncantonioonline,Tue Apr 07 04:10:33 +0000 2020,0,0,1995,228,en,Kingdom of Saudi Arabia,neutral
"1,25E+18",Either he received a letter or has covid-19.,dianesbaker1,Tue Apr 07 04:10:33 +0000 2020,0,0,1813,3122,en,Canada,negative
"1,25E+18",Two more Sri Lankans aged 62 &amp; 72 in the UK reportedly died from coronavirus @GoldNewsLK,raprasadh,Tue Apr 07 04:10:36 +0000 2020,0,0,583,495,en,Sri Lanka,negative
"1,25E+18",@daiannyy Covid-19,1petronioo,Tue Apr 07 04:11:03 +0000 2020,0,0,1055,1073,en,Brasil,neutral
"1,25E+18",Coronavirus and the Flu Have a Lot of Symptoms in Common -Â Here's What You Need to Know,CelebFitnessTV,Tue Apr 07 04:11:04 +0000 2020,0,0,83,806,en,United Kingdom,negative
"1,25E+18",@ShreyaTrivediMD Thatâ€™s why I define COVID-19 as: the â€œLonely and solitary diseaseâ€,gilliar_do,Tue Apr 07 04:11:31 +0000 2020,0,0,627,597,en,United States,neutral
