word,contSpam,contHam
amore,0,1
available,2,13
buffet,0,2
bugis,0,6
cine,0,7
crazy,2,8
got,3,166
great,5,72
jurong,0,1
la,0,5
point,0,11
wat,0,77
world,1,26
joking,0,2
lar,0,29
ok,4,222
oni,0,3
wif,0,18
08452810075over18,2,0
2005,3,0
21st,2,1
87121,3,0
apply,23,2
comp,7,1
cup,5,3
entry,17,0
fa,2,0
final,14,2
free,131,43
question,4,14
rate,24,2
receive,22,5
std,9,0
text,80,52
tkts,4,0
txt,122,8
win,51,6
wkly,9,0
dun,0,36
early,0,27
hor,0,1
say,1,69
don,5,108
goes,0,22
lives,0,3
nah,0,9
think,2,96
usf,0,6
50,38,5
chgs,1,0
darling,2,2
freemsg,11,0
fun,8,14
hey,5,75
like,9,168
rcv,2,0
send,52,97
tb,1,2
week,41,38
word,20,11
xxx,11,17
aids,0,1
brother,1,11
patent,0,1
speak,8,20
treat,0,14
callers,0,5
callertune,0,5
copy,0,7
friends,4,36
melle,0,3
minnaminunginte,0,3
nurungu,0,3
oru,0,4
press,1,10
request,1,6
set,1,15
vettam,0,3
09061701461,1,0
12,3,4
900,5,2
claim,84,0
code,19,1
customer,38,7
hours,2,13
kl341,1,0
network,18,4
prize,67,0
receivea,1,0
reward,3,0
selected,19,3
valid,17,0
valued,8,2
winner,13,0
08002986030,2,0
11,6,5
camera,23,2
colour,11,3
entitled,4,0
latest,22,3
mobile,80,9
mobiles,9,0
months,3,6
update,9,2
anymore,0,8
cried,0,1
gonna,0,40
home,2,117
soon,2,41
stuff,1,24
talk,2,31
today,15,103
tonight,2,34
ve,10,63
want,19,115
000,22,0
100,30,0
150p,57,0
16,42,1
20,6,5
6days,2,0
87575,3,0
cash,50,8
chances,2,0
cost,26,10
csh11,2,0
day,14,145
hl,5,0
info,10,1
pounds,12,1
reply,72,34
tsandcs,2,0
4403ldnw1a7rw18,1,0
81010,1,0
dbuk,1,0
jackpot,1,0
lccltd,1,0
membership,1,1
net,12,7
pobox,12,0
urgent,45,6
won,58,15
www,64,1
blessing,0,2
breather,0,1
fulfil,0,1
granted,0,1
help,16,26
promise,0,7
right,2,68
searching,0,4
thank,1,24
times,0,19
wonderful,0,11
wont,0,26
words,0,16
date,7,8
sunday,0,9
click,3,1
com,38,13
credit,8,4
http,15,0
link,4,2
message,22,51
qjkgighjjgcbl,1,0
use,6,26
wap,7,0
xxxmobilemovieclub,1,0
oh,1,75
watching,0,24
did,2,88
eh,0,10
make,9,62
naughty,0,5
remember,0,27
spell,0,3
wet,2,3
yes,11,63
feel,0,50
fine,0,36
gota,0,1
way,1,72
4txt,2,0
87077,5,0
dont,10,97
england,4,0
goals,2,0
macedonia,1,0
miss,7,55
national,19,0
news,8,7
poboxox36504w45wq,1,0
scotland,1,2
team,3,3
try,6,32
ur,88,143
wales,1,2
ú1,1,0
seriously,0,7
going,4,130
ha,0,8
comin,0,10
da,0,93
pay,1,26
stock,0,4
aft,0,16
ard,0,16
finish,0,28
lor,0,112
lunch,0,27
smth,0,8
str,1,3
alright,0,19
ffffffffff,0,1
meet,8,56
sooner,0,3
eat,0,28
forced,0,1
getting,4,37
hungry,1,9
just,64,212
knows,1,9
lol,0,59
mark,0,4
pizza,0,6
really,1,60
sick,0,9
slice,0,2
sucks,0,4
tho,0,12
turn,0,3
worried,0,9
convincing,0,2
bus,0,19
catch,0,8
dinner,0,23
eating,0,7
egg,0,2
frying,0,2
left,0,23
love,8,135
mom,0,11
tea,0,4
amp,0,54
car,0,32
know,19,175
let,4,56
ll,3,201
packing,0,1
room,0,26
ahhh,0,1
does,3,25
vaguely,0,1
work,3,69
clear,0,3
doesn,0,19
live,21,15
sarcastic,0,1
sure,0,54
wait,2,50
actin,0,1
apologetic,0,1
badly,0,1
caught,0,3
cheers,0,4
child,1,2
doing,0,62
fallen,0,1
spoilt,0,1
till,3,16
yeah,1,64
tell,11,80
cuppa,0,1
fainting,0,1
fear,0,3
housework,0,1
quick,0,5
charged,9,0
confirm,1,8
month,7,20
replying,4,2
ringtone,24,0
subscription,2,0
thanks,13,42
uk,53,0
2nd,14,8
8am,0,2
learn,1,4
lesson,0,12
look,2,21
msg,45,41
timings,0,1
xuhui,0,2
yup,0,29
oops,0,6
roommate,0,4
letter,0,3
decide,0,8
decided,0,10
hello,4,32
invite,0,3
saturday,4,7
texting,0,4
tomo,0,17
trying,12,18
abiola,0,11
ahead,0,7
pls,7,73
wanted,1,21
watts,0,1
weekend,4,19
arabian,0,1
crave,0,8
forget,2,10
mmmmmm,0,2
need,5,112
steed,0,1
sweet,0,27
yummy,0,2
07732584351,1,0
08000930705,12,0
burns,1,0
camcorder,11,0
delivery,15,1
nokia,38,1
rodger,1,0
sms,26,12
tomorrow,8,63
tried,13,4
seeing,0,11
endowed,0,1
gt,0,184
hope,4,79
inches,0,3
lt,0,185
man,0,36
calls,15,8
messages,10,9
missed,1,15
didn,0,33
hep,0,1
immunisation,0,1
nigeria,0,5
fair,0,2
ask,0,57
bit,0,32
hopefully,0,4
maybe,0,23
tyler,0,3
hospital,0,4
hospitals,0,2
kept,3,3
stubborn,0,1
sucker,0,1
suckers,0,1
telling,0,11
weak,0,3
class,1,36
saw,0,18
thinked,0,1
time,12,144
eighth,0,1
gets,0,8
gram,0,2
half,10,20
runs,0,3
second,0,13
smarter,0,1
usually,0,6
crashing,0,1
fyi,0,3
morning,0,61
place,5,43
ride,0,3
accomodations,0,1
best,6,29
cave,0,1
embarassed,0,3
embarassing,0,1
happy,0,69
liked,0,5
offered,0,1
realized,0,2
sorry,3,113
thought,1,30
wow,1,6
ac,6,0
correct,4,6
detroit,1,0
devils,1,0
end,9,22
hockey,1,1
ice,1,7
incorrect,1,0
jersey,1,0
new,53,46
play,12,14
red,3,4
sptv,1,0
wings,1,0
mallika,0,1
sherawat,0,1
url,0,3
yesterday,2,17
09061209465,3,0
150pm,4,0
5we,5,0
bx420,4,0
cinema,3,4
congrats,7,6
ip4,5,0
matrix3,3,0
pass,3,7
special,16,24
starwars3,3,0
suprman,3,0
year,6,35
later,0,88
meeting,0,29
reached,0,6
gauti,0,1
odi,0,2
sehwag,0,1
series,0,4
burger,1,1
killing,0,2
pain,0,22
pick,2,50
girls,2,10
good,10,165
joke,0,6
seekers,0,1
situation,0,7
checking,0,6
iq,0,3
come,2,162
forever,0,6
roommates,0,2
took,0,18
check,2,30
cut,0,8
double,9,5
dresser,0,3
hair,0,15
nice,0,43
said,0,66
short,0,8
wun,0,6
09066364589,2,0
1500,3,0
advise,3,0
awarded,28,0
bonus,18,0
following,3,1
mob,19,0
pleased,3,2
recent,3,0
review,4,1
dedicate,0,2
dedicated,0,2
frnds,0,12
rply,4,6
song,2,6
valuable,0,2
10,17,11
1000,32,0
18,40,0
3aj,1,0
aco,1,0
complimentary,8,0
dis,1,16
entry41,1,0
eurodisinc,1,0
ls1,1,0
morefrmmob,1,0
shracomorsglsuplt,1,0
trav,1,0
trip,3,8
barbie,1,0
comes,2,14
divorce,1,1
hear,3,21
ken,1,0
plane,0,3
hee,0,11
lucky,4,9
money,2,42
save,2,4
wah,0,4
finished,0,16
babe,4,53
hi,13,77
im,4,47
wanna,8,22
xx,4,10
performed,0,1
machan,0,2
waiting,12,29
cool,1,26
dignity,0,3
gentleman,0,3
respect,0,4
thats,0,27
pa,0,23
peoples,0,1
shy,0,2
operate,0,1
earn,0,1
job,0,36
looking,7,17
ta,1,5
ah,0,28
stop,73,27
urgnt,0,4
jacket,0,1
multis,0,1
real,13,19
tickets,3,6
