,contSpam,contHam
amore,0.0,0.0002072538860103627
available,0.004016064257028112,0.0031088082901554403
buffet,0.0,0.0004145077720207254
bugis,0.0,0.001450777202072539
cine,0.0,0.001450777202072539
crazy,0.00535475234270415,0.002072538860103627
got,0.009370816599732263,0.04601036269430052
great,0.014725568942436412,0.02010362694300518
jurong,0.0,0.0002072538860103627
la,0.0,0.001450777202072539
point,0.0,0.002694300518134715
wat,0.0013386880856760374,0.020932642487046633
world,0.0013386880856760374,0.007046632124352332
joking,0.0,0.001243523316062176
lar,0.0,0.00766839378238342
ok,0.006693440428380187,0.05699481865284974
oni,0.0,0.0008290155440414508
wif,0.0,0.00538860103626943
08452810075over18,0.002677376171352075,0.0
2005,0.004016064257028112,0.0
21st,0.002677376171352075,0.0002072538860103627
87121,0.00535475234270415,0.0
apply,0.040160642570281124,0.0004145077720207254
comp,0.013386880856760375,0.0004145077720207254
cup,0.006693440428380187,0.0008290155440414508
entry,0.028112449799196786,0.0
fa,0.002677376171352075,0.0
final,0.0214190093708166,0.0004145077720207254
free,0.22757697456492637,0.0122279792746114
question,0.009370816599732263,0.0031088082901554403
rate,0.040160642570281124,0.0004145077720207254
receive,0.038821954484605084,0.0010362694300518134
std,0.014725568942436412,0.0
text,0.14457831325301204,0.013678756476683937
tkts,0.00535475234270415,0.0
txt,0.2034805890227577,0.002694300518134715
win,0.08299866131191433,0.0016580310880829016
wkly,0.018741633199464525,0.0
dun,0.0,0.010569948186528497
early,0.0,0.006424870466321244
hor,0.0,0.0004145077720207254
say,0.0013386880856760374,0.018238341968911918
don,0.0107095046854083,0.029015544041450778
goes,0.0,0.0051813471502590676
lives,0.0,0.0008290155440414508
nah,0.0,0.002072538860103627
think,0.00535475234270415,0.025906735751295335
usf,0.0,0.0022797927461139897
50,0.07228915662650602,0.0010362694300518134
chgs,0.0013386880856760374,0.0
darling,0.002677376171352075,0.000621761658031088
freemsg,0.018741633199464525,0.0
fun,0.012048192771084338,0.004352331606217617
hey,0.006693440428380187,0.021968911917098446
like,0.01740294511378849,0.04476683937823834
rcv,0.002677376171352075,0.0
send,0.09370816599732262,0.025906735751295335
tb,0.0013386880856760374,0.000621761658031088
week,0.06693440428380187,0.012435233160621761
word,0.03346720214190094,0.002694300518134715
xxx,0.014725568942436412,0.004974093264248704
aids,0.0,0.0002072538860103627
brother,0.0013386880856760374,0.003937823834196891
patent,0.0,0.0002072538860103627
speak,0.013386880856760375,0.004766839378238342
treat,0.0,0.003316062176165803
callers,0.0,0.0010362694300518134
callertune,0.0,0.0010362694300518134
copy,0.0,0.0018652849740932642
friends,0.006693440428380187,0.009740932642487047
melle,0.0,0.000621761658031088
minnaminunginte,0.0,0.000621761658031088
nurungu,0.0,0.000621761658031088
oru,0.0,0.0008290155440414508
press,0.004016064257028112,0.002072538860103627
request,0.0013386880856760374,0.001450777202072539
set,0.0013386880856760374,0.003937823834196891
vettam,0.0,0.000621761658031088
09061701461,0.002677376171352075,0.0
12,0.008032128514056224,0.001243523316062176
900,0.009370816599732263,0.000621761658031088
claim,0.14457831325301204,0.0
code,0.040160642570281124,0.0002072538860103627
customer,0.06559571619812583,0.0018652849740932642
hours,0.006693440428380187,0.003316062176165803
kl341,0.002677376171352075,0.0
network,0.03346720214190094,0.0008290155440414508
prize,0.11244979919678715,0.0
receivea,0.002677376171352075,0.0
reward,0.012048192771084338,0.0
selected,0.03346720214190094,0.0008290155440414508
valid,0.0321285140562249,0.0
valued,0.014725568942436412,0.0004145077720207254
winner,0.0214190093708166,0.0
08002986030,0.002677376171352075,0.0
11,0.01606425702811245,0.0010362694300518134
camera,0.041499330655957165,0.000621761658031088
colour,0.024096385542168676,0.0008290155440414508
entitled,0.0107095046854083,0.0
latest,0.04551539491298527,0.000621761658031088
mobile,0.15127175368139223,0.0031088082901554403
mobiles,0.01606425702811245,0.0
months,0.004016064257028112,0.001450777202072539
update,0.01740294511378849,0.0010362694300518134
anymore,0.0,0.0016580310880829016
cried,0.0,0.0002072538860103627
gonna,0.0,0.011606217616580311
home,0.002677376171352075,0.033782383419689116
soon,0.004016064257028112,0.011813471502590673
stuff,0.0013386880856760374,0.008704663212435234
talk,0.006693440428380187,0.008290155440414507
today,0.028112449799196786,0.02860103626943005
tonight,0.002677376171352075,0.011606217616580311
ve,0.01740294511378849,0.01699481865284974
want,0.03748326639892905,0.03316062176165803
000,0.03614457831325301,0.0
100,0.0535475234270415,0.0002072538860103627
150p,0.09504685408299866,0.0
16,0.07095046854082998,0.0002072538860103627
20,0.009370816599732263,0.0010362694300518134
6days,0.002677376171352075,0.0
87575,0.00535475234270415,0.0
cash,0.08835341365461848,0.002487046632124352
chances,0.002677376171352075,0.0
cost,0.041499330655957165,0.002072538860103627
csh11,0.002677376171352075,0.0
day,0.024096385542168676,0.04020725388601036
hl,0.008032128514056224,0.0
info,0.018741633199464525,0.0004145077720207254
pounds,0.022757697456492636,0.0004145077720207254
reply,0.12449799196787148,0.008704663212435234
tsandcs,0.002677376171352075,0.0
4403ldnw1a7rw18,0.002677376171352075,0.0
81010,0.002677376171352075,0.0
dbuk,0.002677376171352075,0.0
jackpot,0.002677376171352075,0.0
lccltd,0.002677376171352075,0.0
membership,0.002677376171352075,0.0004145077720207254
net,0.020080321285140562,0.001450777202072539
