Genero,TV,Computador,Dormir,AlturaE,AlturaMama,AlturaPapa,EjercicioE,Promedio
Male,2.1,15.4,8.1,187.3,2.0,166.6,2.8,5.0
Male,3.9,12.1,0.0,153.2,4.8,164.9,3.7,4.1
Male,2.4,4.1,0.4,123.8,28.6,147.5,5.9,3.1
Male,5.3,10.0,3.2,55.9,92.9,160.1,0.7,4.5
Female,10.0,11.1,2.9,73.2,114.5,7.3,0.9,4.2
Male,7.0,14.0,1.3,72.6,31.8,61.2,8.5,3.2
Male,7.0,12.7,3.0,40.8,73.3,69.2,0.9,4.4
Male,10.4,13.5,4.4,191.4,54.0,31.5,5.1,4.8
Male,5.5,9.0,5.7,151.0,125.7,131.2,7.1,4.6
Female,8.9,7.7,3.9,187.5,20.6,141.6,4.5,3.4
